"Aeropuerto","Mes","Año","Cantidad Nacionales","Cantidad Extrajeros","Cantidad En Tránsito","Cantidad Exentos","Total Pasajeros"
"Aeropuerto Internacional Daniel Oduber Quirós","Enero","2016","2305","128590","","","130895"
"Aeropuerto Internacional Daniel Oduber Quirós","Diciembre","2015","1938","108140","","","110078"
"Aeropuerto Internacional Daniel Oduber Quirós","Noviembre","2015","1866","70936","","","72802"
"Aeropuerto Internacional Daniel Oduber Quirós","Octubre","2015","1751","26085","","","27836"
"Aeropuerto Internacional Daniel Oduber Quirós","Setiembre","2015","1770","25356","","","27126"
"Aeropuerto Internacional Daniel Oduber Quirós","Agosto","2015","1873","55921","","","57794"
"Aeropuerto Internacional Daniel Oduber Quirós","Julio","2015","1919","68035","","","69954"
"Aeropuerto Internacional Daniel Oduber Quirós","Junio","2015","1675","58984","","","60659"
"Aeropuerto Internacional Daniel Oduber Quirós","Mayo","2015","1854","51212","","","53066"
"Aeropuerto Internacional Daniel Oduber Quirós","Abril","2015","2027","86556","","","88583"
"Aeropuerto Internacional Daniel Oduber Quirós","Marzo","2015","1825","115637","","","117462"
"Aeropuerto Internacional Daniel Oduber Quirós","Febrero","2015","1676","95496","","","97172"
"Aeropuerto Internacional Daniel Oduber Quirós","Enero","2015","1761","98834","","","100595"
